@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
241,'2018/02/15 22:47:20:937',1,2,2,0.09,1,0.14
242,'2018/02/15 22:47:20:955',1,3,3,0.09,1,0.14
243,'2018/02/15 22:47:20:969',1,2,2,0.09,1,0.14
244,'2018/02/15 22:47:20:989',1,0,0,0.09,1,0.14
245,'2018/02/15 22:47:21:005',1,3,3,0.09,1,0.14
246,'2018/02/15 22:47:21:021',1,0,0,0.09,1,0.14
247,'2018/02/15 22:47:21:036',1,0,0,0.09,1,0.14
248,'2018/02/15 22:47:21:054',1,4,4,0.09,1,0.14
249,'2018/02/15 22:47:21:071',1,0,0,0.09,1,0.14
250,'2018/02/15 22:47:21:102',1,1,1,0.09,1,0.14
251,'2018/02/15 22:47:21:123',1,4,4,0.09,1,0.14
252,'2018/02/15 22:47:21:140',1,0,0,0.09,1,0.14
253,'2018/02/15 22:47:21:171',1,0,0,0.09,1,0.14
254,'2018/02/15 22:47:21:190',1,0,0,0.09,1,0.14
255,'2018/02/15 22:47:21:207',1,0,0,0.09,1,0.14
256,'2018/02/15 22:47:21:223',1,1,1,0.09,1,0.14
257,'2018/02/15 22:47:21:238',1,0,0,0.09,1,0.14
258,'2018/02/15 22:47:21:258',1,0,0,0.09,1,0.14
259,'2018/02/15 22:47:21:273',1,0,0,0.09,1,0.14
260,'2018/02/15 22:47:21:291',1,1,1,0.09,1,0.14
261,'2018/02/15 22:47:21:307',1,0,0,0.09,1,0.14
262,'2018/02/15 22:47:21:338',1,0,0,0.09,1,0.14
263,'2018/02/15 22:47:21:355',1,0,0,0.09,1,0.14
264,'2018/02/15 22:47:21:370',1,1,1,0.09,1,0.14
265,'2018/02/15 22:47:21:390',1,0,0,0.09,1,0.14
266,'2018/02/15 22:47:21:405',1,1,1,0.09,1,0.14
267,'2018/02/15 22:47:21:421',1,0,0,0.09,1,0.14
268,'2018/02/15 22:47:21:437',1,0,0,0.09,1,0.14
269,'2018/02/15 22:47:21:455',1,1,1,0.09,1,0.14
270,'2018/02/15 22:47:21:471',1,0,0,0.09,1,0.14
271,'2018/02/15 22:47:21:503',1,0,0,0.09,1,0.14
272,'2018/02/15 22:47:21:522',1,0,0,0.09,1,0.14
273,'2018/02/15 22:47:21:539',1,2,2,0.09,1,0.14
274,'2018/02/15 22:47:21:555',1,0,0,0.09,1,0.14
275,'2018/02/15 22:47:21:572',1,0,0,0.09,1,0.14
276,'2018/02/15 22:47:21:589',1,0,0,0.09,1,0.14
277,'2018/02/15 22:47:21:604',1,0,0,0.09,1,0.14
278,'2018/02/15 22:47:21:621',1,0,0,0.09,1,0.14
279,'2018/02/15 22:47:21:637',1,0,0,0.09,1,0.14
280,'2018/02/15 22:47:21:653',1,0,0,0.09,1,0.14
281,'2018/02/15 22:47:21:669',1,0,0,0.09,1,0.14
282,'2018/02/15 22:47:21:688',1,1,1,0.09,1,0.14
283,'2018/02/15 22:47:21:705',1,0,0,0.09,1,0.14
284,'2018/02/15 22:47:21:721',1,0,0,0.09,1,0.14
285,'2018/02/15 22:47:21:737',1,0,0,0.09,1,0.14
286,'2018/02/15 22:47:21:755',1,0,0,0.09,1,0.14
287,'2018/02/15 22:47:21:771',1,1,1,0.09,1,0.14
288,'2018/02/15 22:47:21:787',1,0,0,0.09,1,0.14
289,'2018/02/15 22:47:21:802',1,1,1,0.09,1,0.14
290,'2018/02/15 22:47:21:822',1,0,0,0.09,1,0.14
291,'2018/02/15 22:47:21:837',1,0,0,0.09,1,0.14
292,'2018/02/15 22:47:21:854',1,0,0,0.09,1,0.14
293,'2018/02/15 22:47:21:870',1,1,1,0.09,1,0.14
294,'2018/02/15 22:47:21:890',1,0,0,0.09,1,0.14
295,'2018/02/15 22:47:21:906',1,0,0,0.09,1,0.14
296,'2018/02/15 22:47:21:922',1,0,0,0.09,1,0.14
297,'2018/02/15 22:47:21:938',1,0,0,0.09,1,0.14
298,'2018/02/15 22:47:21:970',1,0,0,0.09,1,0.14
299,'2018/02/15 22:47:21:989',1,0,0,0.09,1,0.14
300,'2018/02/15 22:47:22:004',1,0,0,0.09,1,0.14
301,'2018/02/15 22:47:22:021',1,0,0,0.09,1,0.14
302,'2018/02/15 22:47:22:037',1,0,0,0.09,1,0.14
303,'2018/02/15 22:47:22:055',1,0,0,0.09,1,0.14
304,'2018/02/15 22:47:22:071',1,0,0,0.09,1,0.14
305,'2018/02/15 22:47:22:088',1,0,0,0.09,1,0.14
306,'2018/02/15 22:47:22:103',1,0,0,0.09,1,0.14
307,'2018/02/15 22:47:22:122',1,0,0,0.09,1,0.14
308,'2018/02/15 22:47:22:139',1,0,0,0.09,1,0.14
309,'2018/02/15 22:47:22:171',1,0,0,0.09,1,0.14
310,'2018/02/15 22:47:22:190',1,0,0,0.09,1,0.14
311,'2018/02/15 22:47:22:205',1,0,0,0.09,1,0.14
312,'2018/02/15 22:47:22:222',1,0,0,0.09,1,0.14
313,'2018/02/15 22:47:22:239',1,0,0,0.09,1,0.14
314,'2018/02/15 22:47:22:257',1,0,0,0.09,1,0.14
315,'2018/02/15 22:47:22:273',1,0,0,0.09,1,0.14
316,'2018/02/15 22:47:22:305',1,0,0,0.09,1,0.14
317,'2018/02/15 22:47:22:322',1,0,0,0.09,1,0.14
318,'2018/02/15 22:47:22:337',1,0,0,0.09,1,0.14
319,'2018/02/15 22:47:22:354',1,0,0,0.09,1,0.14
320,'2018/02/15 22:47:22:371',1,0,0,0.09,1,0.14
321,'2018/02/15 22:47:22:390',1,0,0,0.09,1,0.14
322,'2018/02/15 22:47:22:405',1,0,0,0.09,1,0.14
323,'2018/02/15 22:47:22:424',1,0,0,0.09,1,0.14
324,'2018/02/15 22:47:22:440',1,0,0,0.09,1,0.14
325,'2018/02/15 22:47:22:456',1,1,1,0.09,1,0.14
326,'2018/02/15 22:47:22:472',1,1,1,0.09,1,0.14
327,'2018/02/15 22:47:22:491',1,0,0,0.09,1,0.14
328,'2018/02/15 22:47:22:507',1,0,0,0.09,1,0.14
329,'2018/02/15 22:47:22:539',1,1,1,0.09,1,0.14
330,'2018/02/15 22:47:22:559',1,1,1,0.09,1,0.14
